Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Navdeep Saini,RR,https://sports.ndtv.com/cricket/players/64853-navdeep-amarjeet-saini-playerprofile,Bowler ,2.6,Navdeep Amarjeet Saini,"November 23, 1992 Karnal, Haryana","29 Years, 3 Months, 22 Days",India,Right Handed,Right-arm fast,IPL,28,6,3,31,12* v DC,0,0,3,0,10.33,88.57,6,0,1,0,28,97.4,1,828,17,2/24 v DC,0,0,48.7,8.47,34.47,28
Nathan Coulter-Nile,RR,https://sports.ndtv.com/cricket/players/1424-nathan-coulter-nile-playerprofile,Bowler ,2,Nathan Mitchell Coulter-Nile,"October 11, 1987 Osborne Park, Western Australia","34 Years, 5 Months, 5 Days",Australia,Right Handed,Right-arm fast,IPL,38,16,5,81,24* v PBKS,0,0,7,4,7.36,115.71,12,0,1,1,37,139.5,1,1052,48,4/14 v RR,5,0,21.91,7.52,17.47,37
James Neesham,RR,https://sports.ndtv.com/cricket/players/1441-james-neesham-playerprofile,All-Rounder ,1.5,James Douglas Sheahan Neesham,"September 17, 1990 Auckland","31 Years, 5 Months, 28 Days",New Zealand,Left Handed,Right-arm medium fast,IPL,12,8,1,61,22 v CSK,0,0,3,2,8.71,92.42,1,0,2,0,12,33,0,305,8,3/12 v RR,1,0,38.12,9.24,24.75,12
KC Cariappa,RR,https://sports.ndtv.com/cricket/players/107051-kc-cariappa-playerprofile,Bowler ,0.3,Konganda Charamanna Cariappa,"April 13, 1994 Bangalore, Karnataka","27 Years, 11 Months, 2 Days",India,Right Handed,Leg break,IPL,11,5,2,24,12* v RCB,0,0,0,2,8,114.28,3,0,0,0,11,36,0,348,8,2/16 v RCB,0,0,43.5,9.66,27,11
Virat Kohli,RCB,https://sports.ndtv.com/cricket/players/967-virat-kohli-playerprofile,Batsman ,15,Virat Kohli,"November 5, 1988 Delhi","33 Years, 4 Months, 10 Days",India,Right Handed,Right-arm medium,IPL,207,199,31,6283,113 v PBKS,5,42,546,210,37.39,129.94,84,0,6,7,26,41.5,0,368,4,2/25 v DCH,0,0,92,8.79,62.75,26
Glenn Maxwell,RCB,https://sports.ndtv.com/cricket/players/1423-glenn-maxwell-playerprofile,All-Rounder ,11,Glenn James Maxwell,"October 14, 1988 Kew, Melbourne, Victoria","33 Years, 5 Months, 1 Days",Australia,Right Handed,Off break,IPL,97,93,13,2018,95 v CSK,0,12,166,112,25.22,151.84,35,0,12,4,56,107,0,915,22,2/15 v RCB,0,0,41.59,8.55,29.18,56
Harshal Patel,RCB,https://sports.ndtv.com/cricket/players/1293-harshal-patel-playerprofile,All-Rounder ,10.75,Harshal Vikram Patel,"November 23, 1990 Sanand, Gujarat","31 Years, 3 Months, 22 Days",India,Right Handed,Right-arm medium,IPL,63,28,11,187,36* v CSK,0,0,11,11,11,134.53,15,0,9,3,61,210.4,0,1808,78,5/27 v MI,6,1,23.17,8.58,16.2,61
Mohammed Siraj,RCB,https://sports.ndtv.com/cricket/players/107503-mohammed-siraj-playerprofile,Bowler ,7,Mohammed Siraj,"March 13, 1994 Hyderabad","28 Years, 0 Months, 2 Days",India,Right Handed,Right-arm medium fast,IPL,50,15,10,66,14 v RR,0,0,5,2,13.2,86.84,16,0,5,1,50,171.2,4,1437,50,4/32 v GL,3,0,28.74,8.38,20.56,50
Shahbaz Ahmed,RCB,https://sports.ndtv.com/cricket/players/51351-shahbaz-ahmed-playerprofile,All-Rounder ,2.4,Shahbaz Ahmed,"December 12, 1994 Mewat, Haryana","27 Years, 3 Months, 3 Days",India,Left Handed,Slow left-arm orthodox,IPL,13,8,1,60,14 v SRH,0,0,4,2,8.57,111.11,5,0,0,0,8,20,0,136,9,3/7 v SRH,1,0,15.11,6.8,13.33,8
Sherfane Rutherford,RCB,https://sports.ndtv.com/cricket/players/110388-sherfane-rutherford-playerprofile,All-Rounder ,1,Sherfane Eviston Rutherford,"August 15, 1998 ","23 Years, 7 Months, 0 Days",West Indies,Left Handed,Right-arm fast medium,IPL,7,7,2,73,28* v RCB,0,0,2,7,14.6,135.18,5,0,0,0,6,6.5,0,59,1,1/6 v RCB,0,0,59,8.63,41,6
